driver_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
ocon,0.1439245069121545,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
perez,-0.6278028421328633,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
raikkonen,1.103345841690381,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
ricciardo,1.1051987371782042,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
sainz,-0.2772442942611459,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
sirotkin,-1.6202884711946213,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
stroll,-0.8430499252941566,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
vandoorne,-1.089505777192281,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
vettel,1.3685047441203742,-finish_position,10.0,0.97,2018,11,German Grand Prix,11,155,10
alonso,0.6317709754158042,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
bottas,0.905419167320955,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
brendon_hartley,-0.9573597510903336,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
ericsson,-0.8298833519001693,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
gasly,-0.578581685956297,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
grosjean,-0.6586851148284573,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
hamilton,1.6264709859124737,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
hulkenberg,0.6052615485285519,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
kevin_magnussen,-0.019518120271941795,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
leclerc,-0.6868891149836055,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
max_verstappen,0.9464921341503736,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
ocon,0.13610651850793012,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
perez,-0.5393575111681611,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
raikkonen,1.1626435104405268,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
ricciardo,1.0644453244256042,-finish_position,10.0,0.97,2018,12,Hungarian Grand Prix,12,170,11
