season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,fastf1_laps_count,fastf1_avg_lap_time,fastf1_best_lap_time,fastf1_avg_sector1,fastf1_avg_sector2,fastf1_avg_sector3,fastf1_first_compound,fastf1_main_compound,fastf1_max_tyre_life,fastf1_stints_count,fastf1_pit_in_count,fastf1_pit_out_count
2018,5,Spanish Grand Prix,sirotkin,williams,19,14,+3 Laps,0.0,63,sirotkin_2018_5,0,63.0,91.07001587301588,82.68,26.449516129032258,33.918507936507936,30.501380952380952,SOFT,MEDIUM,22.0,4.0,3.0,3.0
2018,5,Spanish Grand Prix,vandoorne,mclaren,11,15,Gearbox,0.0,45,vandoorne_2018_5,0,46.0,91.4019090909091,82.594,27.2756,34.65175555555555,30.605844444444443,SOFT,SOFT,36.0,2.0,2.0,1.0
2018,5,Spanish Grand Prix,ocon,force_india,13,16,Oil leak,0.0,38,ocon_2018_5,0,39.0,91.15867567567568,82.117,28.08535135135135,34.40931578947369,30.289684210526318,SOFT,SOFT,28.0,2.0,1.0,1.0
2018,5,Spanish Grand Prix,raikkonen,ferrari,4,17,Turbo,0.0,25,raikkonen_2018_5,0,25.0,93.94525,81.531,29.430374999999998,35.48856,31.53408,SOFT,SOFT,27.0,1.0,1.0,0.0
2018,5,Spanish Grand Prix,grosjean,haas,10,18,Collision,0.0,0,grosjean_2018_5,0,1.0,,,,,,SOFT,SOFT,5.0,1.0,0.0,0.0
2018,5,Spanish Grand Prix,gasly,toro_rosso,12,19,Collision,0.0,0,gasly_2018_5,0,1.0,,,,,,SOFT,SOFT,1.0,1.0,0.0,0.0
2018,5,Spanish Grand Prix,hulkenberg,renault,16,20,Collision,0.0,0,hulkenberg_2018_5,0,1.0,,,,,,SOFT,SOFT,1.0,1.0,0.0,0.0
2018,6,Monaco Grand Prix,ricciardo,red_bull,1,1,Finished,25.0,78,ricciardo_2018_6,0,78.0,79.1641923076923,75.562,21.270064935064937,36.64347435897436,21.207346153846153,HYPERSOFT,ULTRASOFT,61.0,2.0,1.0,1.0
2018,6,Monaco Grand Prix,vettel,ferrari,2,2,Finished,18.0,78,vettel_2018_6,0,78.0,79.25824358974359,76.065,21.034896103896102,36.81265384615385,21.353705128205128,HYPERSOFT,ULTRASOFT,62.0,2.0,1.0,1.0
2018,6,Monaco Grand Prix,hamilton,mercedes,3,3,Finished,15.0,78,hamilton_2018_6,0,78.0,79.38230769230769,76.27,20.900324675324676,36.90962820512821,21.505025641025643,HYPERSOFT,ULTRASOFT,71.0,2.0,1.0,1.0
2018,6,Monaco Grand Prix,raikkonen,ferrari,4,4,Finished,12.0,78,raikkonen_2018_6,0,78.0,79.39658974358974,76.392,20.85881818181818,36.96012820512821,21.50396153846154,HYPERSOFT,ULTRASOFT,61.0,2.0,1.0,1.0
2018,6,Monaco Grand Prix,bottas,mercedes,5,5,Finished,10.0,78,bottas_2018_6,0,78.0,79.4055,76.312,20.74635064935065,37.15234615384615,21.425115384615385,HYPERSOFT,SUPERSOFT,61.0,2.0,1.0,1.0
2018,6,Monaco Grand Prix,ocon,force_india,6,6,Finished,8.0,78,ocon_2018_6,0,78.0,79.46761538461539,77.027,20.967363636363636,36.88405128205128,21.531230769230767,HYPERSOFT,SUPERSOFT,55.0,2.0,1.0,1.0
2018,6,Monaco Grand Prix,gasly,toro_rosso,10,7,Finished,6.0,78,gasly_2018_6,0,78.0,79.4761282051282,77.099,20.763363636363636,36.998423076923075,21.606858974358975,HYPERSOFT,SUPERSOFT,41.0,2.0,1.0,1.0
2018,6,Monaco Grand Prix,hulkenberg,renault,11,8,Finished,4.0,78,hulkenberg_2018_6,0,78.0,79.48264102564102,76.061,20.786103896103896,37.02526923076923,21.558743589743592,ULTRASOFT,ULTRASOFT,49.0,2.0,1.0,1.0
2018,6,Monaco Grand Prix,max_verstappen,red_bull,20,9,Finished,2.0,78,max_verstappen_2018_6,0,78.0,79.48876923076922,74.26,20.826818181818183,36.9879358974359,21.532307692307693,ULTRASOFT,ULTRASOFT,46.0,2.0,1.0,1.0
