RaceID,season,round,race_name,driver_id,constructor_id,finish_position,is_dnf,safety_car_flag,qualifying_position,constructor_coef_rapm,recent_form_5,driver_constructor_synergy,constructor_wins_total,driver_coef_rapm,track_complexity,tire_compound_start,season_factor,avg_pit_stops_circuit,constructor_dnf_rate,grid_penalty,altitude_m
driver_77_2026_2026_2,2026,2,Chinese Grand Prix,driver_77_2026,unknown_2026,13.0,False,1,19,0.0,0.0,0.0,0.0,0.0,0.4249044702495889,2.0,2026,1.2,0.0,0,7.0
ocon_2026_2,2026,2,Chinese Grand Prix,ocon,haas,14.0,False,1,13,-2.7089837511112766,12.0,-12.409090909090908,0.0,0.8661295886481036,0.4249044702495889,3.0,2026,1.2,0.0494186046511627,0,7.0
driver_11_2026_2026_2,2026,2,Chinese Grand Prix,driver_11_2026,unknown_2026,15.0,False,1,21,0.0,0.0,0.0,0.0,0.0,0.4249044702495889,2.0,2026,1.2,0.0,0,7.0
piastri_2026_2,2026,2,Chinese Grand Prix,piastri,mclaren,,False,1,5,1.9784306113959176,3.933333333333333,-5.703125,21.0,2.552069125286265,0.4249044702495889,2.0,2026,1.2,0.0552325581395348,0,7.0
max_verstappen_2026_2,2026,2,Chinese Grand Prix,max_verstappen,red_bull,,False,1,6,2.460319891785691,1.6666666666666667,-2.564935064935065,74.0,4.537532083607752,0.4249044702495889,3.0,2026,1.2,0.0610465116279069,0,7.0
bortoleto_2026_2,2026,2,Chinese Grand Prix,bortoleto,sauber,,False,1,16,-2.9272066045437106,13.6,-13.444444444444445,0.0,-0.2305153729084123,0.4249044702495889,3.0,2026,1.2,0.0367647058823529,0,7.0
albon_2026_2,2026,2,Chinese Grand Prix,albon,williams,,False,1,22,-2.464089130575294,11.8,-11.371428571428572,0.0,1.2109156298702817,0.4249044702495889,3.0,2026,1.2,0.0495626822157434,0,7.0
antonelli_2026_3,2026,3,Japanese Grand Prix,antonelli,mercedes,1.0,False,1,1,4.760011694264114,4.533333333333333,-7.842105263157895,55.0,-1.5999540096311955,0.4474979062596848,2.0,2026,1.511764705882353,0.0203488372093023,0,5.0
piastri_2026_3,2026,3,Japanese Grand Prix,piastri,mclaren,2.0,False,1,3,1.9784306113959176,3.933333333333333,-5.703125,21.0,2.552069125286265,0.4474979062596848,2.0,2026,1.511764705882353,0.0552325581395348,0,5.0
leclerc_2026_3,2026,3,Japanese Grand Prix,leclerc,ferrari,3.0,False,1,4,3.163895217348746,4.933333333333334,-4.792307692307692,19.0,2.0211800966873064,0.4474979062596848,2.0,2026,1.511764705882353,0.0406976744186046,0,5.0
russell_2026_3,2026,3,Japanese Grand Prix,russell,mercedes,4.0,False,1,2,4.760011694264114,4.666666666666667,-5.011904761904762,55.0,0.1446739605129134,0.4474979062596848,2.0,2026,1.511764705882353,0.0203488372093023,0,5.0
max_verstappen_2026_3,2026,3,Japanese Grand Prix,max_verstappen,red_bull,5.0,False,1,5,2.460319891785691,1.6666666666666667,-2.564935064935065,74.0,4.537532083607752,0.4474979062596848,2.0,2026,1.511764705882353,0.0610465116279069,0,5.0
