season,round,race_name,driver_id,constructor_id,grid_position,finish_position,status,points,laps,RaceID,grid_position_zero_flag,status_normalizado,dnf_categoria,is_dnf,dnf_flag,dnf_driver_flag,dnf_car_flag,dnf_other_flag
2018,6,Monaco Grand Prix,raikkonen,ferrari,4,4,Finished,12.0,78,raikkonen_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,bottas,mercedes,5,5,Finished,10.0,78,bottas_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,ocon,force_india,6,6,Finished,8.0,78,ocon_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,gasly,toro_rosso,10,7,Finished,6.0,78,gasly_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,hulkenberg,renault,11,8,Finished,4.0,78,hulkenberg_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,max_verstappen,red_bull,20,9,Finished,2.0,78,max_verstappen_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,sainz,renault,8,10,Finished,1.0,78,sainz_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,ericsson,sauber,16,11,Finished,0.0,78,ericsson_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,perez,force_india,9,12,Finished,0.0,78,perez_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,kevin_magnussen,haas,19,13,Finished,0.0,78,kevin_magnussen_2018_6,0,finished,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,vandoorne,mclaren,12,14,+1 Lap,0.0,77,vandoorne_2018_6,0,+1 lap,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,grosjean,haas,18,15,+1 Lap,0.0,77,grosjean_2018_6,0,+1 lap,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,sirotkin,williams,13,16,+1 Lap,0.0,77,sirotkin_2018_6,0,+1 lap,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,stroll,williams,17,17,+2 Laps,0.0,76,stroll_2018_6,0,+2 laps,classificado,False,0,0,0,0
2018,6,Monaco Grand Prix,leclerc,sauber,14,18,Collision,0.0,70,leclerc_2018_6,0,collision,dnf_piloto,True,1,1,0,0
2018,6,Monaco Grand Prix,brendon_hartley,toro_rosso,15,19,Collision,0.0,70,brendon_hartley_2018_6,0,collision,dnf_piloto,True,1,1,0,0
2018,6,Monaco Grand Prix,alonso,mclaren,7,20,Gearbox,0.0,52,alonso_2018_6,0,gearbox,dnf_carro,True,1,0,1,0
2018,7,Canadian Grand Prix,vettel,ferrari,1,1,Finished,25.0,68,vettel_2018_7,0,finished,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,bottas,mercedes,2,2,Finished,18.0,68,bottas_2018_7,0,finished,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,max_verstappen,red_bull,3,3,Finished,15.0,68,max_verstappen_2018_7,0,finished,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,ricciardo,red_bull,6,4,Finished,12.0,68,ricciardo_2018_7,0,finished,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,hamilton,mercedes,4,5,Finished,10.0,68,hamilton_2018_7,0,finished,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,raikkonen,ferrari,5,6,Finished,8.0,68,raikkonen_2018_7,0,finished,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,hulkenberg,renault,7,7,+1 Lap,6.0,67,hulkenberg_2018_7,0,+1 lap,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,sainz,renault,9,8,+1 Lap,4.0,67,sainz_2018_7,0,+1 lap,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,ocon,force_india,8,9,+1 Lap,2.0,67,ocon_2018_7,0,+1 lap,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,leclerc,sauber,13,10,+1 Lap,1.0,67,leclerc_2018_7,0,+1 lap,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,gasly,toro_rosso,16,11,+1 Lap,0.0,67,gasly_2018_7,0,+1 lap,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,grosjean,haas,20,12,+1 Lap,0.0,67,grosjean_2018_7,0,+1 lap,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,kevin_magnussen,haas,11,13,+1 Lap,0.0,67,kevin_magnussen_2018_7,0,+1 lap,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,perez,force_india,10,14,+1 Lap,0.0,67,perez_2018_7,0,+1 lap,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,ericsson,sauber,19,15,+2 Laps,0.0,66,ericsson_2018_7,0,+2 laps,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,vandoorne,mclaren,15,16,+2 Laps,0.0,66,vandoorne_2018_7,0,+2 laps,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,sirotkin,williams,18,17,+2 Laps,0.0,66,sirotkin_2018_7,0,+2 laps,classificado,False,0,0,0,0
2018,7,Canadian Grand Prix,alonso,mclaren,14,18,Exhaust,0.0,40,alonso_2018_7,0,exhaust,dnf_carro,True,1,0,1,0
2018,7,Canadian Grand Prix,brendon_hartley,toro_rosso,12,19,Collision,0.0,0,brendon_hartley_2018_7,0,collision,dnf_piloto,True,1,1,0,0
2018,7,Canadian Grand Prix,stroll,williams,17,20,Collision,0.0,0,stroll_2018_7,0,collision,dnf_piloto,True,1,1,0,0
2018,8,French Grand Prix,hamilton,mercedes,1,1,Finished,25.0,53,hamilton_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,max_verstappen,red_bull,4,2,Finished,18.0,53,max_verstappen_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,raikkonen,ferrari,6,3,Finished,15.0,53,raikkonen_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,ricciardo,red_bull,5,4,Finished,12.0,53,ricciardo_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,vettel,ferrari,3,5,Finished,10.0,53,vettel_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,kevin_magnussen,haas,9,6,Finished,8.0,53,kevin_magnussen_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,bottas,mercedes,2,7,Finished,6.0,53,bottas_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,sainz,renault,7,8,Finished,4.0,53,sainz_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,hulkenberg,renault,12,9,Finished,2.0,53,hulkenberg_2018_8,0,finished,classificado,False,0,0,0,0
2018,8,French Grand Prix,leclerc,sauber,8,10,Finished,1.0,53,leclerc_2018_8,0,finished,classificado,False,0,0,0,0
