constructor_id,coef_rapm,target_definition,alpha,decay,season,round,race_name,race_order,n_train_rows,n_train_races
haas,-0.7806971182224768,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
mclaren,-1.0784673521853767,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
mercedes,3.168928852843698,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
red_bull,2.326828447058445,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
renault,-0.2938068090931312,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
sauber,-1.40593333441339,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
toro_rosso,-1.6287956627845923,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
williams,-2.859223922614634,-finish_position,10.0,0.97,2018,18,United States Grand Prix,18,272,17
ferrari,2.846308840216171,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
force_india,-0.2695368161103789,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
haas,-0.8103722876991997,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
mclaren,-1.0991686375580212,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
mercedes,3.1101609227267213,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
red_bull,2.3470243747604425,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
renault,-0.2099593182258089,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
sauber,-1.405008629915222,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
toro_rosso,-1.6112620207832162,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
williams,-2.8981864274114906,-finish_position,10.0,0.97,2018,19,Mexican Grand Prix,19,286,18
ferrari,2.896812201811109,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
force_india,-0.32694016656261665,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
haas,-1.069767030057767,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
mclaren,-1.0265288430913317,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
mercedes,3.064415584072761,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
red_bull,2.41248345751554,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
renault,-0.15500237166462652,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
sauber,-1.275392859050907,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
toro_rosso,-1.6546188730941374,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
williams,-2.8654610998780257,-finish_position,10.0,0.97,2018,20,Brazilian Grand Prix,20,302,19
ferrari,2.9127078755086666,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
force_india,-0.4329405992308547,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
haas,-0.9466489912775342,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
mclaren,-1.243679474135378,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
mercedes,3.125091293468397,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
red_bull,2.5255617129388623,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
renault,-0.171566719127597,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
sauber,-1.155437624876626,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
toro_rosso,-1.6413302184842686,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
williams,-2.9717572547836664,-finish_position,10.0,0.97,2018,21,Abu Dhabi Grand Prix,21,320,20
ferrari,2.9166728847932712,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
force_india,-0.4218341165059406,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
haas,-0.9341517129957558,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
mclaren,-1.3397632370231367,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
mercedes,3.122690041206842,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
red_bull,2.5513132214074026,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
renault,-0.12442926675600494,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
sauber,-1.1020938096297361,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
toro_rosso,-1.6610722328307699,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
williams,-3.007331771666163,-finish_position,10.0,0.97,2019,1,Australian Grand Prix,22,335,21
alfa,-0.5007480544956541,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
ferrari,3.047857891233165,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
force_india,-0.2207728893387639,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
haas,-0.7413577324481669,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
mclaren,-1.304650185178036,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
mercedes,3.3069586271517664,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
racing_point,-0.23611145031571354,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
red_bull,2.4808826048023493,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
renault,0.017294917370817155,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
sauber,-1.0061367971718682,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
toro_rosso,-1.576546877933949,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
williams,-3.2666700536759388,-finish_position,10.0,0.97,2019,2,Bahrain Grand Prix,23,352,22
alfa,-0.48090519473606963,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
ferrari,3.1200137189273645,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
force_india,-0.20658217452435232,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
haas,-0.7770354934579008,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
mclaren,-1.113114604142335,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
mercedes,3.39399037201618,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
racing_point,-0.5269451761991805,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
red_bull,2.4601573441318996,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
renault,0.03656410764283374,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
sauber,-1.0355711827013836,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
toro_rosso,-1.5217448601286392,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
williams,-3.3488268568284183,-finish_position,10.0,0.97,2019,3,Chinese Grand Prix,24,368,23
alfa,-0.7641051739199589,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
ferrari,3.1859958231996344,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
force_india,-0.20949424539373396,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
haas,-0.8021341968534871,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
mclaren,-1.208521051667218,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
mercedes,3.499782016305958,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
racing_point,-0.5026799507932399,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
red_bull,2.530006393548349,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
renault,0.1955029545656584,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
sauber,-0.9961865239298033,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
toro_rosso,-1.466540277111233,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
williams,-3.461625767950933,-finish_position,10.0,0.97,2019,4,Azerbaijan Grand Prix,25,385,24
alfa,-0.894105334666227,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
ferrari,3.2218253593113237,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
force_india,-0.2700946272307734,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
haas,-0.8494262687094688,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
mclaren,-1.005186726658037,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
mercedes,3.555508469364775,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
racing_point,-0.24993898194850186,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
red_bull,2.523358129923426,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
renault,-0.0009559793424077688,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
sauber,-0.9951016697474419,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
toro_rosso,-1.4717671190089574,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
williams,-3.564115251287708,-finish_position,10.0,0.97,2019,5,Spanish Grand Prix,26,401,25
alfa,-1.2938610502541381,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
ferrari,3.3352740056070314,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
force_india,-0.1263737475307725,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
haas,-0.7197294705877322,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
mclaren,-0.8700947869530983,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
mercedes,3.6713044838511713,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
racing_point,-0.48613216095658085,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
red_bull,2.694466451206971,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
renault,-0.21704291707031573,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
sauber,-0.9351077095599286,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
toro_rosso,-1.3707076296718852,-finish_position,10.0,0.97,2019,6,Monaco Grand Prix,27,419,26
