RaceID,season,round,driver_id,constructor_id,finish_position
max_verstappen_2018_14,2018,14,max_verstappen,red_bull,5
ocon_2018_14,2018,14,ocon,force_india,6
perez_2018_14,2018,14,perez,force_india,7
sainz_2018_14,2018,14,sainz,renault,8
stroll_2018_14,2018,14,stroll,williams,9
sirotkin_2018_14,2018,14,sirotkin,williams,10
leclerc_2018_14,2018,14,leclerc,sauber,11
vandoorne_2018_14,2018,14,vandoorne,mclaren,12
hulkenberg_2018_14,2018,14,hulkenberg,renault,13
gasly_2018_14,2018,14,gasly,toro_rosso,14
ericsson_2018_14,2018,14,ericsson,sauber,15
kevin_magnussen_2018_14,2018,14,kevin_magnussen,haas,16
hamilton_2018_15,2018,15,hamilton,mercedes,1
max_verstappen_2018_15,2018,15,max_verstappen,red_bull,2
vettel_2018_15,2018,15,vettel,ferrari,3
bottas_2018_15,2018,15,bottas,mercedes,4
raikkonen_2018_15,2018,15,raikkonen,ferrari,5
ricciardo_2018_15,2018,15,ricciardo,red_bull,6
alonso_2018_15,2018,15,alonso,mclaren,7
sainz_2018_15,2018,15,sainz,renault,8
leclerc_2018_15,2018,15,leclerc,sauber,9
hulkenberg_2018_15,2018,15,hulkenberg,renault,10
ericsson_2018_15,2018,15,ericsson,sauber,11
vandoorne_2018_15,2018,15,vandoorne,mclaren,12
gasly_2018_15,2018,15,gasly,toro_rosso,13
stroll_2018_15,2018,15,stroll,williams,14
grosjean_2018_15,2018,15,grosjean,haas,15
perez_2018_15,2018,15,perez,force_india,16
brendon_hartley_2018_15,2018,15,brendon_hartley,toro_rosso,17
kevin_magnussen_2018_15,2018,15,kevin_magnussen,haas,18
sirotkin_2018_15,2018,15,sirotkin,williams,19
hamilton_2018_16,2018,16,hamilton,mercedes,1
bottas_2018_16,2018,16,bottas,mercedes,2
vettel_2018_16,2018,16,vettel,ferrari,3
raikkonen_2018_16,2018,16,raikkonen,ferrari,4
max_verstappen_2018_16,2018,16,max_verstappen,red_bull,5
ricciardo_2018_16,2018,16,ricciardo,red_bull,6
leclerc_2018_16,2018,16,leclerc,sauber,7
kevin_magnussen_2018_16,2018,16,kevin_magnussen,haas,8
ocon_2018_16,2018,16,ocon,force_india,9
perez_2018_16,2018,16,perez,force_india,10
grosjean_2018_16,2018,16,grosjean,haas,11
hulkenberg_2018_16,2018,16,hulkenberg,renault,12
ericsson_2018_16,2018,16,ericsson,sauber,13
alonso_2018_16,2018,16,alonso,mclaren,14
stroll_2018_16,2018,16,stroll,williams,15
vandoorne_2018_16,2018,16,vandoorne,mclaren,16
sainz_2018_16,2018,16,sainz,renault,17
sirotkin_2018_16,2018,16,sirotkin,williams,18
hamilton_2018_17,2018,17,hamilton,mercedes,1
bottas_2018_17,2018,17,bottas,mercedes,2
max_verstappen_2018_17,2018,17,max_verstappen,red_bull,3
ricciardo_2018_17,2018,17,ricciardo,red_bull,4
raikkonen_2018_17,2018,17,raikkonen,ferrari,5
vettel_2018_17,2018,17,vettel,ferrari,6
perez_2018_17,2018,17,perez,force_india,7
grosjean_2018_17,2018,17,grosjean,haas,8
ocon_2018_17,2018,17,ocon,force_india,9
sainz_2018_17,2018,17,sainz,renault,10
gasly_2018_17,2018,17,gasly,toro_rosso,11
ericsson_2018_17,2018,17,ericsson,sauber,12
brendon_hartley_2018_17,2018,17,brendon_hartley,toro_rosso,13
alonso_2018_17,2018,17,alonso,mclaren,14
vandoorne_2018_17,2018,17,vandoorne,mclaren,15
sirotkin_2018_17,2018,17,sirotkin,williams,16
stroll_2018_17,2018,17,stroll,williams,17
raikkonen_2018_18,2018,18,raikkonen,ferrari,1
max_verstappen_2018_18,2018,18,max_verstappen,red_bull,2
hamilton_2018_18,2018,18,hamilton,mercedes,3
vettel_2018_18,2018,18,vettel,ferrari,4
bottas_2018_18,2018,18,bottas,mercedes,5
hulkenberg_2018_18,2018,18,hulkenberg,renault,6
sainz_2018_18,2018,18,sainz,renault,7
perez_2018_18,2018,18,perez,force_india,8
brendon_hartley_2018_18,2018,18,brendon_hartley,toro_rosso,9
ericsson_2018_18,2018,18,ericsson,sauber,10
vandoorne_2018_18,2018,18,vandoorne,mclaren,11
gasly_2018_18,2018,18,gasly,toro_rosso,12
sirotkin_2018_18,2018,18,sirotkin,williams,13
stroll_2018_18,2018,18,stroll,williams,14
max_verstappen_2018_19,2018,19,max_verstappen,red_bull,1
vettel_2018_19,2018,19,vettel,ferrari,2
raikkonen_2018_19,2018,19,raikkonen,ferrari,3
hamilton_2018_19,2018,19,hamilton,mercedes,4
bottas_2018_19,2018,19,bottas,mercedes,5
hulkenberg_2018_19,2018,19,hulkenberg,renault,6
leclerc_2018_19,2018,19,leclerc,sauber,7
vandoorne_2018_19,2018,19,vandoorne,mclaren,8
ericsson_2018_19,2018,19,ericsson,sauber,9
gasly_2018_19,2018,19,gasly,toro_rosso,10
ocon_2018_19,2018,19,ocon,force_india,11
stroll_2018_19,2018,19,stroll,williams,12
sirotkin_2018_19,2018,19,sirotkin,williams,13
brendon_hartley_2018_19,2018,19,brendon_hartley,toro_rosso,14
kevin_magnussen_2018_19,2018,19,kevin_magnussen,haas,15
grosjean_2018_19,2018,19,grosjean,haas,16
hamilton_2018_20,2018,20,hamilton,mercedes,1
max_verstappen_2018_20,2018,20,max_verstappen,red_bull,2
raikkonen_2018_20,2018,20,raikkonen,ferrari,3
ricciardo_2018_20,2018,20,ricciardo,red_bull,4
bottas_2018_20,2018,20,bottas,mercedes,5
vettel_2018_20,2018,20,vettel,ferrari,6
leclerc_2018_20,2018,20,leclerc,sauber,7
grosjean_2018_20,2018,20,grosjean,haas,8
kevin_magnussen_2018_20,2018,20,kevin_magnussen,haas,9
perez_2018_20,2018,20,perez,force_india,10
brendon_hartley_2018_20,2018,20,brendon_hartley,toro_rosso,11
