season,meeting_key,session_key,driver_number,position,dnf,number_of_laps
2026,1280,11245,1,,False,0.0
2026,1280,11245,5,,False,0.0
2026,1280,11245,23,,False,0.0
2026,1281,11253,12,1.0,False,53.0
2026,1281,11253,81,2.0,False,53.0
2026,1281,11253,16,3.0,False,53.0
2026,1281,11253,63,4.0,False,53.0
2026,1281,11253,1,5.0,False,53.0
2026,1281,11253,44,6.0,False,53.0
2026,1281,11253,10,7.0,False,53.0
2026,1281,11253,3,8.0,False,53.0
2026,1281,11253,30,9.0,False,53.0
2026,1281,11253,31,10.0,False,53.0
2026,1281,11253,27,11.0,False,53.0
2026,1281,11253,6,12.0,False,53.0
2026,1281,11253,5,13.0,False,53.0
2026,1281,11253,41,14.0,False,53.0
2026,1281,11253,55,15.0,False,53.0
2026,1281,11253,43,16.0,False,53.0
2026,1281,11253,11,17.0,False,53.0
2026,1281,11253,14,18.0,False,52.0
2026,1281,11253,77,19.0,False,52.0
2026,1281,11253,23,20.0,False,51.0
2026,1281,11253,18,,True,30.0
2026,1281,11253,87,,True,20.0
2026,1284,11280,12,1.0,False,57.0
2026,1284,11280,1,2.0,False,57.0
2026,1284,11280,81,3.0,False,57.0
2026,1284,11280,63,4.0,False,57.0
2026,1284,11280,3,5.0,False,57.0
2026,1284,11280,44,6.0,False,57.0
2026,1284,11280,43,7.0,False,57.0
2026,1284,11280,16,8.0,False,57.0
2026,1284,11280,55,9.0,False,57.0
2026,1284,11280,23,10.0,False,57.0
2026,1284,11280,87,11.0,False,56.0
2026,1284,11280,5,12.0,False,56.0
2026,1284,11280,31,13.0,False,56.0
2026,1284,11280,41,14.0,False,56.0
2026,1284,11280,14,15.0,False,56.0
2026,1284,11280,11,16.0,False,56.0
2026,1284,11280,18,17.0,False,56.0
2026,1284,11280,77,18.0,False,55.0
2026,1284,11280,27,,True,7.0
2026,1284,11280,30,,True,6.0
2026,1284,11280,10,,True,4.0
2026,1284,11280,6,,True,4.0
