season,meeting_key,session_key,driver_number,position,dnf,number_of_laps
2025,1261,9979,4,1.0,False,78.0
2025,1261,9979,16,2.0,False,78.0
2025,1261,9979,81,3.0,False,78.0
2025,1261,9979,1,4.0,False,78.0
2025,1261,9979,44,5.0,False,78.0
2025,1261,9979,6,6.0,False,77.0
2025,1261,9979,31,7.0,False,77.0
2025,1261,9979,30,8.0,False,77.0
2025,1261,9979,23,9.0,False,76.0
2025,1261,9979,55,10.0,False,76.0
2025,1261,9979,63,11.0,False,76.0
2025,1261,9979,87,12.0,False,76.0
2025,1261,9979,43,13.0,False,76.0
2025,1261,9979,5,14.0,False,76.0
2025,1261,9979,18,15.0,False,76.0
2025,1261,9979,27,16.0,False,76.0
2025,1261,9979,22,17.0,False,76.0
2025,1261,9979,12,18.0,False,75.0
2025,1261,9979,14,,True,36.0
2025,1261,9979,10,,True,7.0
2025,1262,9971,81,1.0,False,66.0
2025,1262,9971,4,2.0,False,66.0
2025,1262,9971,16,3.0,False,66.0
2025,1262,9971,63,4.0,False,66.0
2025,1262,9971,27,5.0,False,66.0
2025,1262,9971,44,6.0,False,66.0
2025,1262,9971,6,7.0,False,66.0
2025,1262,9971,10,8.0,False,66.0
2025,1262,9971,14,9.0,False,66.0
2025,1262,9971,1,10.0,False,66.0
2025,1262,9971,30,11.0,False,66.0
2025,1262,9971,5,12.0,False,66.0
2025,1262,9971,22,13.0,False,66.0
2025,1262,9971,55,14.0,False,66.0
2025,1262,9971,43,15.0,False,66.0
2025,1262,9971,31,16.0,False,66.0
2025,1262,9971,87,17.0,False,66.0
2025,1262,9971,12,,True,53.0
2025,1262,9971,23,,True,27.0
2025,1263,9963,63,1.0,False,70.0
2025,1263,9963,1,2.0,False,70.0
2025,1263,9963,12,3.0,False,70.0
2025,1263,9963,81,4.0,False,70.0
2025,1263,9963,16,5.0,False,70.0
2025,1263,9963,44,6.0,False,70.0
2025,1263,9963,14,7.0,False,70.0
2025,1263,9963,27,8.0,False,70.0
2025,1263,9963,31,9.0,False,69.0
2025,1263,9963,55,10.0,False,69.0
2025,1263,9963,87,11.0,False,69.0
2025,1263,9963,22,12.0,False,69.0
2025,1263,9963,43,13.0,False,69.0
2025,1263,9963,5,14.0,False,69.0
2025,1263,9963,10,15.0,False,69.0
2025,1263,9963,6,16.0,False,69.0
2025,1263,9963,18,17.0,False,69.0
2025,1263,9963,4,18.0,True,66.0
2025,1263,9963,30,,True,53.0
2025,1263,9963,23,,True,46.0
2025,1264,9955,4,1.0,False,70.0
2025,1264,9955,81,2.0,False,70.0
2025,1264,9955,16,3.0,False,70.0
2025,1264,9955,44,4.0,False,70.0
2025,1264,9955,63,5.0,False,70.0
2025,1264,9955,30,6.0,False,70.0
2025,1264,9955,14,7.0,False,69.0
2025,1264,9955,5,8.0,False,69.0
2025,1264,9955,27,9.0,False,69.0
2025,1264,9955,31,10.0,False,69.0
2025,1264,9955,87,11.0,False,69.0
2025,1264,9955,6,12.0,False,69.0
2025,1264,9955,10,13.0,False,69.0
2025,1264,9955,18,14.0,False,69.0
2025,1264,9955,43,15.0,False,69.0
2025,1264,9955,22,16.0,False,68.0
2025,1264,9955,23,,True,15.0
2025,1264,9955,1,,True,0.0
2025,1264,9955,12,,True,0.0
2025,1264,9955,55,,False,0.0
2025,1277,9947,4,1.0,False,52.0
2025,1277,9947,81,2.0,False,52.0
2025,1277,9947,27,3.0,False,52.0
2025,1277,9947,44,4.0,False,52.0
2025,1277,9947,1,5.0,False,52.0
2025,1277,9947,10,6.0,False,52.0
2025,1277,9947,18,7.0,False,52.0
2025,1277,9947,23,8.0,False,52.0
2025,1277,9947,14,9.0,False,52.0
2025,1277,9947,63,10.0,False,52.0
2025,1277,9947,87,11.0,False,52.0
2025,1277,9947,55,12.0,False,52.0
2025,1277,9947,31,13.0,False,52.0
2025,1277,9947,16,14.0,False,52.0
2025,1277,9947,22,15.0,False,51.0
2025,1277,9947,12,,True,23.0
2025,1277,9947,6,,True,17.0
2025,1277,9947,5,,True,3.0
2025,1277,9947,30,,True,0.0
2025,1277,9947,43,,False,0.0
2025,1265,9939,81,1.0,False,44.0
2025,1265,9939,4,2.0,False,44.0
2025,1265,9939,16,3.0,False,44.0
2025,1265,9939,1,4.0,False,44.0
2025,1265,9939,63,5.0,False,44.0
2025,1265,9939,23,6.0,False,44.0
2025,1265,9939,44,7.0,False,44.0
2025,1265,9939,30,8.0,False,44.0
2025,1265,9939,5,9.0,False,44.0
2025,1265,9939,10,10.0,False,44.0
2025,1265,9939,87,11.0,False,44.0
2025,1265,9939,27,12.0,False,44.0
2025,1265,9939,22,13.0,False,44.0
2025,1265,9939,18,14.0,False,44.0
2025,1265,9939,31,15.0,False,44.0
2025,1265,9939,12,16.0,False,44.0
2025,1265,9939,14,17.0,False,44.0
2025,1265,9939,55,18.0,False,44.0
2025,1265,9939,43,19.0,False,44.0
