season,round,race_name,driver_id,constructor,grid_position,finish_position,status,points
2018,12,Hungarian Grand Prix,perez,Force India,19,14,+1 Lap,0
2018,12,Hungarian Grand Prix,ericsson,Sauber,14,15,+2 Laps,0
2018,12,Hungarian Grand Prix,sirotkin,Williams,20,16,+2 Laps,0
2018,12,Hungarian Grand Prix,stroll,Williams,15,17,+2 Laps,0
2018,12,Hungarian Grand Prix,vandoorne,McLaren,16,18,Gearbox,0
2018,12,Hungarian Grand Prix,max_verstappen,Red Bull,7,19,Power loss,0
2018,12,Hungarian Grand Prix,leclerc,Sauber,17,20,Suspension,0
2018,13,Belgian Grand Prix,vettel,Ferrari,2,1,Finished,25
2018,13,Belgian Grand Prix,hamilton,Mercedes,1,2,Finished,18
2018,13,Belgian Grand Prix,max_verstappen,Red Bull,7,3,Finished,15
2018,13,Belgian Grand Prix,bottas,Mercedes,19,4,Finished,12
2018,13,Belgian Grand Prix,perez,Force India,4,5,Finished,10
2018,13,Belgian Grand Prix,ocon,Force India,3,6,Finished,8
2018,13,Belgian Grand Prix,grosjean,Haas F1 Team,5,7,Finished,6
2018,13,Belgian Grand Prix,kevin_magnussen,Haas F1 Team,9,8,Finished,4
2018,13,Belgian Grand Prix,gasly,Toro Rosso,10,9,Finished,2
2018,13,Belgian Grand Prix,ericsson,Sauber,13,10,+1 Lap,1
2018,13,Belgian Grand Prix,sainz,Renault,14,11,+1 Lap,0
2018,13,Belgian Grand Prix,sirotkin,Williams,16,12,+1 Lap,0
2018,13,Belgian Grand Prix,stroll,Williams,17,13,+1 Lap,0
2018,13,Belgian Grand Prix,brendon_hartley,Toro Rosso,11,14,+1 Lap,0
2018,13,Belgian Grand Prix,vandoorne,McLaren,18,15,+1 Lap,0
2018,13,Belgian Grand Prix,ricciardo,Red Bull,8,16,Retired,0
2018,13,Belgian Grand Prix,raikkonen,Ferrari,6,17,Brakes,0
2018,13,Belgian Grand Prix,leclerc,Sauber,12,18,Accident,0
2018,13,Belgian Grand Prix,alonso,McLaren,15,19,Accident,0
2018,13,Belgian Grand Prix,hulkenberg,Renault,20,20,Accident,0
2018,14,Italian Grand Prix,hamilton,Mercedes,3,1,Finished,25
2018,14,Italian Grand Prix,raikkonen,Ferrari,1,2,Finished,18
2018,14,Italian Grand Prix,bottas,Mercedes,4,3,Finished,15
2018,14,Italian Grand Prix,vettel,Ferrari,2,4,Finished,12
2018,14,Italian Grand Prix,max_verstappen,Red Bull,5,5,Finished,10
2018,14,Italian Grand Prix,ocon,Force India,8,6,Finished,8
2018,14,Italian Grand Prix,perez,Force India,14,7,Finished,6
2018,14,Italian Grand Prix,sainz,Renault,7,8,Finished,4
2018,14,Italian Grand Prix,stroll,Williams,10,9,+1 Lap,2
2018,14,Italian Grand Prix,sirotkin,Williams,12,10,+1 Lap,1
2018,14,Italian Grand Prix,leclerc,Sauber,15,11,+1 Lap,0
2018,14,Italian Grand Prix,vandoorne,McLaren,17,12,+1 Lap,0
2018,14,Italian Grand Prix,hulkenberg,Renault,20,13,+1 Lap,0
2018,14,Italian Grand Prix,gasly,Toro Rosso,9,14,+1 Lap,0
2018,14,Italian Grand Prix,ericsson,Sauber,18,15,+1 Lap,0
2018,14,Italian Grand Prix,kevin_magnussen,Haas F1 Team,11,16,+1 Lap,0
2018,14,Italian Grand Prix,ricciardo,Red Bull,19,17,Engine,0
2018,14,Italian Grand Prix,alonso,McLaren,13,18,Engine,0
2018,14,Italian Grand Prix,brendon_hartley,Toro Rosso,16,19,Brakes,0
2018,14,Italian Grand Prix,grosjean,Haas F1 Team,6,20,Disqualified,0
2018,15,Singapore Grand Prix,hamilton,Mercedes,1,1,Finished,25
2018,15,Singapore Grand Prix,max_verstappen,Red Bull,2,2,Finished,18
2018,15,Singapore Grand Prix,vettel,Ferrari,3,3,Finished,15
2018,15,Singapore Grand Prix,bottas,Mercedes,4,4,Finished,12
2018,15,Singapore Grand Prix,raikkonen,Ferrari,5,5,Finished,10
2018,15,Singapore Grand Prix,ricciardo,Red Bull,6,6,Finished,8
2018,15,Singapore Grand Prix,alonso,McLaren,11,7,Finished,6
2018,15,Singapore Grand Prix,sainz,Renault,12,8,+1 Lap,4
2018,15,Singapore Grand Prix,leclerc,Sauber,13,9,+1 Lap,2
2018,15,Singapore Grand Prix,hulkenberg,Renault,10,10,+1 Lap,1
2018,15,Singapore Grand Prix,ericsson,Sauber,14,11,+1 Lap,0
2018,15,Singapore Grand Prix,vandoorne,McLaren,18,12,+1 Lap,0
2018,15,Singapore Grand Prix,gasly,Toro Rosso,15,13,+1 Lap,0
2018,15,Singapore Grand Prix,stroll,Williams,20,14,+1 Lap,0
2018,15,Singapore Grand Prix,grosjean,Haas F1 Team,8,15,+1 Lap,0
2018,15,Singapore Grand Prix,perez,Force India,7,16,+1 Lap,0
2018,15,Singapore Grand Prix,brendon_hartley,Toro Rosso,17,17,+1 Lap,0
2018,15,Singapore Grand Prix,kevin_magnussen,Haas F1 Team,16,18,+2 Laps,0
2018,15,Singapore Grand Prix,sirotkin,Williams,19,19,+2 Laps,0
2018,15,Singapore Grand Prix,ocon,Force India,9,20,Collision,0
2018,16,Russian Grand Prix,hamilton,Mercedes,2,1,Finished,25
2018,16,Russian Grand Prix,bottas,Mercedes,1,2,Finished,18
2018,16,Russian Grand Prix,vettel,Ferrari,3,3,Finished,15
2018,16,Russian Grand Prix,raikkonen,Ferrari,4,4,Finished,12
2018,16,Russian Grand Prix,max_verstappen,Red Bull,19,5,Finished,10
2018,16,Russian Grand Prix,ricciardo,Red Bull,18,6,Finished,8
2018,16,Russian Grand Prix,leclerc,Sauber,7,7,Finished,6
2018,16,Russian Grand Prix,kevin_magnussen,Haas F1 Team,5,8,+1 Lap,4
2018,16,Russian Grand Prix,ocon,Force India,6,9,+1 Lap,2
2018,16,Russian Grand Prix,perez,Force India,8,10,+1 Lap,1
2018,16,Russian Grand Prix,grosjean,Haas F1 Team,9,11,+1 Lap,0
2018,16,Russian Grand Prix,hulkenberg,Renault,12,12,+1 Lap,0
2018,16,Russian Grand Prix,ericsson,Sauber,10,13,+1 Lap,0
2018,16,Russian Grand Prix,alonso,McLaren,16,14,+1 Lap,0
2018,16,Russian Grand Prix,stroll,Williams,14,15,+1 Lap,0
2018,16,Russian Grand Prix,vandoorne,McLaren,15,16,+2 Laps,0
2018,16,Russian Grand Prix,sainz,Renault,11,17,+2 Laps,0
2018,16,Russian Grand Prix,sirotkin,Williams,13,18,+2 Laps,0
2018,16,Russian Grand Prix,gasly,Toro Rosso,17,19,Brakes,0
2018,16,Russian Grand Prix,brendon_hartley,Toro Rosso,20,20,Brakes,0
2018,17,Japanese Grand Prix,hamilton,Mercedes,1,1,Finished,25
2018,17,Japanese Grand Prix,bottas,Mercedes,2,2,Finished,18
2018,17,Japanese Grand Prix,max_verstappen,Red Bull,3,3,Finished,15
2018,17,Japanese Grand Prix,ricciardo,Red Bull,15,4,Finished,12
2018,17,Japanese Grand Prix,raikkonen,Ferrari,4,5,Finished,10
2018,17,Japanese Grand Prix,vettel,Ferrari,8,6,Finished,8
2018,17,Japanese Grand Prix,perez,Force India,9,7,Finished,6
2018,17,Japanese Grand Prix,grosjean,Haas F1 Team,5,8,Finished,4
2018,17,Japanese Grand Prix,ocon,Force India,11,9,Finished,2
2018,17,Japanese Grand Prix,sainz,Renault,13,10,+1 Lap,1
2018,17,Japanese Grand Prix,gasly,Toro Rosso,7,11,+1 Lap,0
2018,17,Japanese Grand Prix,ericsson,Sauber,20,12,+1 Lap,0
2018,17,Japanese Grand Prix,brendon_hartley,Toro Rosso,6,13,+1 Lap,0
2018,17,Japanese Grand Prix,alonso,McLaren,18,14,+1 Lap,0
2018,17,Japanese Grand Prix,vandoorne,McLaren,19,15,+1 Lap,0
2018,17,Japanese Grand Prix,sirotkin,Williams,17,16,+1 Lap,0
2018,17,Japanese Grand Prix,stroll,Williams,14,17,+1 Lap,0
2018,17,Japanese Grand Prix,leclerc,Sauber,10,18,Mechanical,0
2018,17,Japanese Grand Prix,hulkenberg,Renault,16,19,Engine,0
2018,17,Japanese Grand Prix,kevin_magnussen,Haas F1 Team,12,20,Collision damage,0
2018,18,United States Grand Prix,raikkonen,Ferrari,2,1,Finished,25
2018,18,United States Grand Prix,max_verstappen,Red Bull,18,2,Finished,18
2018,18,United States Grand Prix,hamilton,Mercedes,1,3,Finished,15
2018,18,United States Grand Prix,vettel,Ferrari,5,4,Finished,12
2018,18,United States Grand Prix,bottas,Mercedes,3,5,Finished,10
2018,18,United States Grand Prix,hulkenberg,Renault,7,6,Finished,8
2018,18,United States Grand Prix,sainz,Renault,11,7,Finished,6
2018,18,United States Grand Prix,perez,Force India,10,8,Finished,4
2018,18,United States Grand Prix,brendon_hartley,Toro Rosso,20,9,+1 Lap,2
2018,18,United States Grand Prix,ericsson,Sauber,16,10,+1 Lap,1
2018,18,United States Grand Prix,vandoorne,McLaren,17,11,+1 Lap,0
2018,18,United States Grand Prix,gasly,Toro Rosso,19,12,+1 Lap,0
2018,18,United States Grand Prix,sirotkin,Williams,14,13,+1 Lap,0
2018,18,United States Grand Prix,stroll,Williams,15,14,+2 Laps,0
2018,18,United States Grand Prix,leclerc,Sauber,9,15,Collision damage,0
2018,18,United States Grand Prix,ricciardo,Red Bull,4,16,Battery,0
2018,18,United States Grand Prix,grosjean,Haas F1 Team,8,17,Collision damage,0
2018,18,United States Grand Prix,alonso,McLaren,13,18,Collision,0
2018,18,United States Grand Prix,ocon,Force India,6,19,Disqualified,0
2018,18,United States Grand Prix,kevin_magnussen,Haas F1 Team,12,20,Disqualified,0
2018,19,Mexican Grand Prix,max_verstappen,Red Bull,2,1,Finished,25
2018,19,Mexican Grand Prix,vettel,Ferrari,4,2,Finished,18
2018,19,Mexican Grand Prix,raikkonen,Ferrari,6,3,Finished,15
2018,19,Mexican Grand Prix,hamilton,Mercedes,3,4,Finished,12
2018,19,Mexican Grand Prix,bottas,Mercedes,5,5,+1 Lap,10
2018,19,Mexican Grand Prix,hulkenberg,Renault,7,6,+2 Laps,8
2018,19,Mexican Grand Prix,leclerc,Sauber,9,7,+2 Laps,6
2018,19,Mexican Grand Prix,vandoorne,McLaren,15,8,+2 Laps,4
