Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,season,round
HAM,34.0,,0 days 00:00:47.170000,0 days 00:01:06.136000,0 days 00:00:42.838000,HARD,10.0,2.0,2023,19
HAM,35.0,,,0 days 00:00:37.279000,0 days 00:00:58.397000,MEDIUM,5.0,3.0,2023,19
HAM,36.0,,0 days 00:01:38.794000,0 days 00:00:32.888000,0 days 00:00:21.411000,MEDIUM,6.0,3.0,2023,19
HAM,37.0,0 days 00:01:23.152000,0 days 00:00:29.155000,0 days 00:00:32.460000,0 days 00:00:21.537000,MEDIUM,7.0,3.0,2023,19
HAM,38.0,0 days 00:01:22.432000,0 days 00:00:28.980000,0 days 00:00:32.239000,0 days 00:00:21.213000,MEDIUM,8.0,3.0,2023,19
HAM,39.0,0 days 00:01:22.394000,0 days 00:00:28.750000,0 days 00:00:32.265000,0 days 00:00:21.379000,MEDIUM,9.0,3.0,2023,19
HAM,40.0,0 days 00:01:21.852000,0 days 00:00:28.441000,0 days 00:00:32.001000,0 days 00:00:21.410000,MEDIUM,10.0,3.0,2023,19
HAM,41.0,0 days 00:01:22.231000,0 days 00:00:28.971000,0 days 00:00:31.907000,0 days 00:00:21.353000,MEDIUM,11.0,3.0,2023,19
HAM,42.0,0 days 00:01:22.467000,0 days 00:00:29.060000,0 days 00:00:32.168000,0 days 00:00:21.239000,MEDIUM,12.0,3.0,2023,19
HAM,43.0,0 days 00:01:22.354000,0 days 00:00:29.078000,0 days 00:00:31.945000,0 days 00:00:21.331000,MEDIUM,13.0,3.0,2023,19
HAM,44.0,0 days 00:01:22.414000,0 days 00:00:29.072000,0 days 00:00:32.032000,0 days 00:00:21.310000,MEDIUM,14.0,3.0,2023,19
HAM,45.0,0 days 00:01:22.438000,0 days 00:00:28.998000,0 days 00:00:32.151000,0 days 00:00:21.289000,MEDIUM,15.0,3.0,2023,19
HAM,46.0,0 days 00:01:22.728000,0 days 00:00:28.993000,0 days 00:00:32.193000,0 days 00:00:21.542000,MEDIUM,16.0,3.0,2023,19
HAM,47.0,0 days 00:01:22.413000,0 days 00:00:29.120000,0 days 00:00:32,0 days 00:00:21.293000,MEDIUM,17.0,3.0,2023,19
HAM,48.0,0 days 00:01:23.429000,0 days 00:00:29.352000,0 days 00:00:32.701000,0 days 00:00:21.376000,MEDIUM,18.0,3.0,2023,19
HAM,49.0,0 days 00:01:22.615000,0 days 00:00:29.094000,0 days 00:00:32.382000,0 days 00:00:21.139000,MEDIUM,19.0,3.0,2023,19
HAM,50.0,0 days 00:01:22.772000,0 days 00:00:29.119000,0 days 00:00:32.140000,0 days 00:00:21.513000,MEDIUM,20.0,3.0,2023,19
HAM,51.0,0 days 00:01:23.538000,0 days 00:00:29.365000,0 days 00:00:32.667000,0 days 00:00:21.506000,MEDIUM,21.0,3.0,2023,19
HAM,52.0,0 days 00:01:22.722000,0 days 00:00:29.099000,0 days 00:00:32.193000,0 days 00:00:21.430000,MEDIUM,22.0,3.0,2023,19
HAM,53.0,0 days 00:01:22.563000,0 days 00:00:29.058000,0 days 00:00:32.056000,0 days 00:00:21.449000,MEDIUM,23.0,3.0,2023,19
HAM,54.0,0 days 00:01:22.919000,0 days 00:00:29.184000,0 days 00:00:32.214000,0 days 00:00:21.521000,MEDIUM,24.0,3.0,2023,19
HAM,55.0,0 days 00:01:22.831000,0 days 00:00:29.061000,0 days 00:00:32.273000,0 days 00:00:21.497000,MEDIUM,25.0,3.0,2023,19
HAM,56.0,0 days 00:01:22.777000,0 days 00:00:29.129000,0 days 00:00:32.247000,0 days 00:00:21.401000,MEDIUM,26.0,3.0,2023,19
HAM,57.0,0 days 00:01:22.629000,0 days 00:00:29.119000,0 days 00:00:31.995000,0 days 00:00:21.515000,MEDIUM,27.0,3.0,2023,19
HAM,58.0,0 days 00:01:22.334000,0 days 00:00:29.004000,0 days 00:00:32.061000,0 days 00:00:21.269000,MEDIUM,28.0,3.0,2023,19
