AirTemp,Humidity,Rainfall,TrackTemp,WindSpeed,season,round
16.5,46.4,False,24.7,2.1,2018,4
16.5,46.2,False,24.6,2.7,2018,4
16.4,46.8,False,24.5,2.4,2018,4
16.3,46.9,False,24.3,1.2,2018,4
16.4,46.7,False,24.4,2.0,2018,4
16.6,46.0,False,24.4,2.2,2018,4
16.5,46.0,False,24.4,2.1,2018,4
16.5,45.8,False,24.3,2.9,2018,4
16.5,45.8,False,24.3,2.9,2018,4
16.4,45.9,False,24.3,2.2,2018,4
16.5,45.6,False,24.2,1.6,2018,4
16.5,45.3,False,24.1,2.9,2018,4
16.5,45.3,False,24.1,2.9,2018,4
16.4,45.3,False,23.9,2.6,2018,4
16.5,45.3,False,23.9,2.4,2018,4
16.6,44.6,False,23.9,2.5,2018,4
16.6,44.7,False,23.8,1.5,2018,4
16.5,44.3,False,24.1,2.3,2018,4
16.6,44.0,False,23.9,2.0,2018,4
16.6,43.7,False,23.9,2.5,2018,4
16.5,44.0,False,23.7,2.4,2018,4
16.5,44.1,False,23.7,2.4,2018,4
16.5,44.1,False,23.7,2.4,2018,4
16.6,43.3,False,23.4,2.5,2018,4
16.5,43.6,False,23.7,1.4,2018,4
16.6,43.7,False,23.7,2.0,2018,4
16.6,43.3,False,23.7,3.4,2018,4
16.6,43.0,False,23.5,1.2,2018,4
16.6,43.0,False,23.5,1.2,2018,4
16.6,42.7,False,23.6,1.6,2018,4
16.6,42.9,False,23.6,1.5,2018,4
16.6,42.8,False,23.6,1.4,2018,4
16.6,42.8,False,23.6,1.4,2018,4
16.8,42.4,False,23.6,2.2,2018,4
16.8,42.4,False,23.6,2.2,2018,4
16.6,42.6,False,23.6,1.2,2018,4
16.7,42.7,False,23.6,1.9,2018,4
16.7,42.7,False,23.6,2.4,2018,4
16.7,42.7,False,23.6,1.8,2018,4
16.7,42.7,False,23.6,1.8,2018,4
16.7,43.1,False,23.7,2.5,2018,4
16.9,42.2,False,23.9,1.0,2018,4
16.9,42.2,False,23.9,1.0,2018,4
16.8,42.7,False,23.9,2.1,2018,4
16.7,42.8,False,23.7,1.8,2018,4
16.7,42.6,False,23.7,1.3,2018,4
16.7,42.6,False,23.7,1.3,2018,4
16.6,43.2,False,23.7,2.6,2018,4
16.6,43.3,False,23.6,1.8,2018,4
16.7,43.4,False,23.7,1.6,2018,4
15.1,55.7,False,35.0,1.1,2018,5
15.4,55.1,False,35.0,1.4,2018,5
15.3,54.4,False,35.0,1.5,2018,5
15.1,54.6,False,35.0,1.9,2018,5
15.1,54.4,True,35.0,1.9,2018,5
15.1,54.9,True,35.0,1.6,2018,5
14.9,54.2,True,35.0,2.6,2018,5
15.2,54.1,True,35.0,1.4,2018,5
15.3,54.1,False,35.0,1.1,2018,5
15.5,54.3,True,35.0,2.4,2018,5
15.9,53.3,True,35.0,0.6,2018,5
16.0,52.9,True,35.0,1.4,2018,5
16.2,52.6,True,36.6,1.2,2018,5
16.3,51.0,True,35.6,1.4,2018,5
16.0,52.0,True,34.0,1.3,2018,5
15.9,52.0,True,34.0,1.3,2018,5
16.0,52.7,True,34.9,1.7,2018,5
16.0,52.6,True,35.6,1.5,2018,5
16.1,52.4,True,36.2,2.1,2018,5
16.4,51.8,False,36.5,1.0,2018,5
16.7,51.5,False,36.6,0.9,2018,5
16.4,50.3,False,36.7,2.5,2018,5
16.3,50.9,False,36.7,1.0,2018,5
16.5,51.0,True,36.5,1.6,2018,5
16.3,51.4,True,35.4,2.3,2018,5
16.2,51.0,True,35.1,2.2,2018,5
16.2,51.4,True,35.1,1.5,2018,5
16.4,52.4,True,35.7,2.6,2018,5
16.6,50.7,True,36.3,1.0,2018,5
16.5,50.2,True,35.8,1.5,2018,5
16.4,51.8,True,33.4,2.4,2018,5
16.4,51.8,True,33.2,1.7,2018,5
16.2,51.6,True,32.6,2.1,2018,5
16.1,51.2,True,32.5,2.0,2018,5
16.0,53.0,True,32.2,3.2,2018,5
16.0,51.9,True,31.8,2.5,2018,5
15.8,52.8,True,31.4,1.3,2018,5
15.9,52.8,True,31.1,2.2,2018,5
15.8,53.5,True,30.8,2.2,2018,5
15.8,53.8,True,30.8,2.3,2018,5
15.9,53.3,True,30.6,2.3,2018,5
15.8,53.4,True,30.3,2.9,2018,5
15.7,52.8,False,29.7,2.5,2018,5
15.7,53.3,True,30.2,2.3,2018,5
15.7,53.2,True,30.2,2.4,2018,5
15.7,53.3,True,29.8,1.7,2018,5
15.8,53.5,True,29.7,2.7,2018,5
