RaceID,season,round,driver_id,constructor_id,finish_position,pred_finish_position,experimento,train_start,train_end,valid_season,decay
russell_2025_8,2025,8,russell,mercedes,11,8.098972199495345,A,2018,2024,2025,0.95
bearman_2025_8,2025,8,bearman,haas,12,13.310892242550842,A,2018,2024,2025,0.95
colapinto_2025_8,2025,8,colapinto,alpine,13,15.204045236265216,A,2018,2024,2025,0.95
bortoleto_2025_8,2025,8,bortoleto,sauber,14,14.889261104264527,A,2018,2024,2025,0.95
stroll_2025_8,2025,8,stroll,aston_martin,15,14.49671087687025,A,2018,2024,2025,0.95
hulkenberg_2025_8,2025,8,hulkenberg,sauber,16,12.53829942329911,A,2018,2024,2025,0.95
tsunoda_2025_8,2025,8,tsunoda,red_bull,17,9.069537478019141,A,2018,2024,2025,0.95
antonelli_2025_8,2025,8,antonelli,mercedes,18,8.537056322085125,A,2018,2024,2025,0.95
piastri_2025_9,2025,9,piastri,mclaren,1,2.9236761042851276,A,2018,2024,2025,0.95
norris_2025_9,2025,9,norris,mclaren,2,3.1682826171512786,A,2018,2024,2025,0.95
leclerc_2025_9,2025,9,leclerc,ferrari,3,4.801641491707481,A,2018,2024,2025,0.95
russell_2025_9,2025,9,russell,mercedes,4,4.582218760621072,A,2018,2024,2025,0.95
hulkenberg_2025_9,2025,9,hulkenberg,sauber,5,14.204767202279125,A,2018,2024,2025,0.95
hamilton_2025_9,2025,9,hamilton,ferrari,6,5.079600662211094,A,2018,2024,2025,0.95
hadjar_2025_9,2025,9,hadjar,rb,7,8.909180593695318,A,2018,2024,2025,0.95
gasly_2025_9,2025,9,gasly,alpine,8,9.82405124179958,A,2018,2024,2025,0.95
alonso_2025_9,2025,9,alonso,aston_martin,9,10.634961591014033,A,2018,2024,2025,0.95
max_verstappen_2025_9,2025,9,max_verstappen,red_bull,10,2.649994184990819,A,2018,2024,2025,0.95
lawson_2025_9,2025,9,lawson,rb,11,12.655945362535293,A,2018,2024,2025,0.95
bortoleto_2025_9,2025,9,bortoleto,sauber,12,13.188138080903364,A,2018,2024,2025,0.95
tsunoda_2025_9,2025,9,tsunoda,red_bull,13,12.227019812130976,A,2018,2024,2025,0.95
sainz_2025_9,2025,9,sainz,williams,14,13.590714096953574,A,2018,2024,2025,0.95
colapinto_2025_9,2025,9,colapinto,alpine,15,15.626082029471512,A,2018,2024,2025,0.95
ocon_2025_9,2025,9,ocon,haas,16,13.331816056851189,A,2018,2024,2025,0.95
bearman_2025_9,2025,9,bearman,haas,17,13.594452205955905,A,2018,2024,2025,0.95
russell_2025_10,2025,10,russell,mercedes,1,3.8338183446119376,A,2018,2024,2025,0.95
max_verstappen_2025_10,2025,10,max_verstappen,red_bull,2,3.0056721821582024,A,2018,2024,2025,0.95
antonelli_2025_10,2025,10,antonelli,mercedes,3,5.794118466688875,A,2018,2024,2025,0.95
piastri_2025_10,2025,10,piastri,mclaren,4,3.1157212921896855,A,2018,2024,2025,0.95
leclerc_2025_10,2025,10,leclerc,ferrari,5,5.749339450321313,A,2018,2024,2025,0.95
hamilton_2025_10,2025,10,hamilton,ferrari,6,5.140240157253654,A,2018,2024,2025,0.95
alonso_2025_10,2025,10,alonso,aston_martin,7,8.287747554759626,A,2018,2024,2025,0.95
hulkenberg_2025_10,2025,10,hulkenberg,sauber,8,12.474862372726575,A,2018,2024,2025,0.95
ocon_2025_10,2025,10,ocon,haas,9,12.89160902643055,A,2018,2024,2025,0.95
sainz_2025_10,2025,10,sainz,williams,10,12.881867751315488,A,2018,2024,2025,0.95
bearman_2025_10,2025,10,bearman,haas,11,13.123440910493345,A,2018,2024,2025,0.95
tsunoda_2025_10,2025,10,tsunoda,red_bull,12,10.690582501608006,A,2018,2024,2025,0.95
colapinto_2025_10,2025,10,colapinto,alpine,13,11.779774763121804,A,2018,2024,2025,0.95
bortoleto_2025_10,2025,10,bortoleto,sauber,14,14.340499751838882,A,2018,2024,2025,0.95
